subject,word,order,judgment,judgment_z
subject102,nonabolition,86,2,-0.879094612
subject102,preinstruction,87,2,-0.879094612
subject102,unobtainable,88,7,1.691357469
subject102,herbally,89,6,1.177267053
subject102,unallowable,90,7,1.691357469
subject102,overzealous,91,7,1.691357469
subject102,avoidability,92,7,1.691357469
subject102,inscriptional,93,3,-0.365004195
subject102,preautomation,94,3,-0.365004195
subject102,murkiness,95,7,1.691357469
subject102,preprohibition,96,2,-0.879094612
subject102,surveyorship,97,5,0.663176637
subject102,decoratorship,98,3,-0.365004195
subject102,depublicize,99,2,-0.879094612
subject102,archetypally,100,3,-0.365004195
subject103,noncohesion,1,6,0.850165676
subject103,rebellionist,2,5,0.298110042
subject103,noncrucifixion,3,6,0.850165676
subject103,fusionist,4,4,-0.253945592
subject103,emotionist,5,4,-0.253945592
subject103,nonarticulation,6,2,-1.35805686
subject103,overcavernous,7,2,-1.35805686
subject103,overperilous,8,5,0.298110042
subject103,preemission,9,6,0.850165676
subject103,remedialism,10,4,-0.253945592
subject103,precondescension,11,2,-1.35805686
subject103,incisorship,12,1,-1.910112493
subject103,pastorally,13,2,-1.35805686
subject103,nonincursion,14,5,0.298110042
subject103,accidentalize,15,1,-1.910112493
subject103,preconnection,16,5,0.298110042
subject103,superintegral,17,4,-0.253945592
subject103,preomission,18,5,0.298110042
subject103,disseminationist,19,3,-0.806001226
subject103,intermonumental,20,3,-0.806001226
subject103,foxiness,21,6,0.850165676
subject103,preabortion,22,5,0.298110042
subject103,refrigeratorship,23,1,-1.910112493
subject103,appreciational,24,4,-0.253945592
subject103,disposability,25,5,0.298110042
subject103,beadiness,26,2,-1.35805686
subject103,preseduction,27,2,-1.35805686
subject103,injectional,28,4,-0.253945592
subject103,triumphally,29,5,0.298110042
subject103,overnervous,30,6,0.850165676
subject103,successorship,31,3,-0.806001226
subject103,collectorship,32,5,0.298110042
subject103,visualizer,33,7,1.40222131
subject103,preincarceration,34,7,1.40222131
subject103,preinstitution,35,6,0.850165676
subject103,substitutionist,36,3,-0.806001226
subject103,conductorship,37,5,0.298110042
subject103,legislatorship,38,3,-0.806001226
subject103,overglorious,39,5,0.298110042
subject103,overbulbous,40,3,-0.806001226
subject103,preventionist,41,6,0.850165676
subject103,nondissension,42,6,0.850165676
subject103,unavailable,43,7,1.40222131
subject103,interoccasional,44,1,-1.910112493
subject103,nonelimination,45,2,-1.35805686
subject103,preillumination,46,6,0.850165676
subject103,spikiness,47,6,0.850165676
subject103,superoriginal,48,3,-0.806001226
subject103,precommunion,49,2,-1.35805686
subject103,nondigression,50,5,0.298110042
subject103,abdominally,51,7,1.40222131
subject103,solicitorship,52,5,0.298110042
subject103,selectorship,53,6,0.850165676
subject103,doctrinalism,54,5,0.298110042
subject103,nonretaliation,55,6,0.850165676
subject103,spindliness,56,4,-0.253945592
subject103,enviability,57,2,-1.35805686
subject103,predifferentiation,58,4,-0.253945592
subject103,permissionist,59,3,-0.806001226
subject103,overgorgeous,60,6,0.850165676
subject103,interlogical,61,4,-0.253945592
subject103,negotiational,62,4,-0.253945592
subject103,perpetratorship,63,5,0.298110042
subject103,intercolloquial,64,7,1.40222131
subject103,tropicalize,65,2,-1.35805686
subject103,pretensionist,66,2,-1.35805686
subject103,nondomination,67,7,1.40222131
subject103,accountability,68,7,1.40222131
subject103,oppressorship,69,1,-1.910112493
subject103,nonerosion,70,3,-0.806001226
subject103,nontermination,71,6,0.850165676
subject103,unacceptable,72,3,-0.806001226
subject103,suctionist,73,5,0.298110042
subject103,nonprovision,74,1,-1.910112493
subject103,pelvically,75,6,0.850165676
subject103,cageiness,76,5,0.298110042
subject103,oversynonymous,77,5,0.298110042
subject103,overtedious,78,5,0.298110042
subject103,absorptional,79,3,-0.806001226
subject103,depressionist,80,5,0.298110042
subject103,submemorial,81,1,-1.910112493
subject103,desocialize,82,7,1.40222131
subject103,imitational,83,5,0.298110042
subject103,cataclysmically,84,4,-0.253945592
subject103,nonposition,85,2,-1.35805686
subject103,nonabolition,86,5,0.298110042
subject103,preinstruction,87,7,1.40222131
subject103,unobtainable,88,7,1.40222131
subject103,herbally,89,6,0.850165676
subject103,unallowable,90,3,-0.806001226
subject103,overzealous,91,7,1.40222131
subject103,avoidability,92,5,0.298110042
subject103,inscriptional,93,5,0.298110042
subject103,preautomation,94,7,1.40222131
subject103,murkiness,95,7,1.40222131
subject103,preprohibition,96,7,1.40222131
subject103,surveyorship,97,5,0.298110042
subject103,decoratorship,98,4,-0.253945592
subject103,depublicize,99,6,0.850165676
subject103,archetypally,100,6,0.850165676
subject104,noncohesion,1,6,1.381544364
subject104,rebellionist,2,6,1.381544364
subject104,noncrucifixion,3,2,-0.313602095
subject104,fusionist,4,2,-0.313602095
subject104,emotionist,5,2,-0.313602095
subject104,nonarticulation,6,7,1.805330978
subject104,overcavernous,7,2,-0.313602095
subject104,overperilous,8,2,-0.313602095
subject104,preemission,9,2,-0.313602095
subject104,remedialism,10,2,-0.313602095
subject104,precondescension,11,2,-0.313602095
subject104,incisorship,12,3,0.11018452
subject104,pastorally,13,6,1.381544364
subject104,nonincursion,14,1,-0.737388709
subject104,accidentalize,15,1,-0.737388709
subject104,preconnection,16,1,-0.737388709
subject104,superintegral,17,1,-0.737388709
subject104,preomission,18,1,-0.737388709
subject104,disseminationist,19,1,-0.737388709
subject104,intermonumental,20,1,-0.737388709
subject104,foxiness,21,6,1.381544364
subject104,preabortion,22,1,-0.737388709
subject104,refrigeratorship,23,2,-0.313602095
subject104,appreciational,24,1,-0.737388709
subject104,disposability,25,6,1.381544364
subject104,beadiness,26,3,0.11018452
subject104,preseduction,27,1,-0.737388709
subject104,injectional,28,2,-0.313602095
subject104,triumphally,29,1,-0.737388709
subject104,overnervous,30,2,-0.313602095
subject104,successorship,31,1,-0.737388709
subject104,collectorship,32,2,-0.313602095
subject104,visualizer,33,7,1.805330978
subject104,preincarceration,34,1,-0.737388709
subject104,preinstitution,35,1,-0.737388709
subject104,substitutionist,36,6,1.381544364
subject104,conductorship,37,1,-0.737388709
subject104,legislatorship,38,7,1.805330978
subject104,overglorious,39,1,-0.737388709
subject104,overbulbous,40,1,-0.737388709
subject104,preventionist,41,2,-0.313602095
subject104,nondissension,42,1,-0.737388709
subject104,unavailable,43,6,1.381544364
subject104,interoccasional,44,1,-0.737388709
subject104,nonelimination,45,1,-0.737388709
subject104,preillumination,46,1,-0.737388709
subject104,spikiness,47,7,1.805330978
subject104,superoriginal,48,1,-0.737388709
subject104,precommunion,49,1,-0.737388709
subject104,nondigression,50,1,-0.737388709
subject104,abdominally,51,7,1.805330978
subject104,solicitorship,52,1,-0.737388709
subject104,selectorship,53,1,-0.737388709
subject104,doctrinalism,54,1,-0.737388709
subject104,nonretaliation,55,6,1.381544364
subject104,spindliness,56,6,1.381544364
subject104,enviability,57,6,1.381544364
subject104,predifferentiation,58,1,-0.737388709
subject104,permissionist,59,1,-0.737388709
subject104,overgorgeous,60,1,-0.737388709
subject104,interlogical,61,1,-0.737388709
subject104,negotiational,62,1,-0.737388709
subject104,perpetratorship,63,1,-0.737388709
subject104,intercolloquial,64,1,-0.737388709
subject104,tropicalize,65,1,-0.737388709
subject104,pretensionist,66,1,-0.737388709
subject104,nondomination,67,7,1.805330978
subject104,accountability,68,6,1.381544364
subject104,oppressorship,69,1,-0.737388709
subject104,nonerosion,70,1,-0.737388709
subject104,nontermination,71,1,-0.737388709
subject104,unacceptable,72,7,1.805330978
subject104,suctionist,73,1,-0.737388709
subject104,nonprovision,74,1,-0.737388709
subject104,pelvically,75,7,1.805330978
subject104,cageiness,76,4,0.533971134
subject104,oversynonymous,77,1,-0.737388709
subject104,overtedious,78,1,-0.737388709
subject104,absorptional,79,1,-0.737388709
subject104,depressionist,80,2,-0.313602095
subject104,submemorial,81,1,-0.737388709
subject104,desocialize,82,2,-0.313602095
subject104,imitational,83,1,-0.737388709
subject104,cataclysmically,84,2,-0.313602095
subject104,nonposition,85,2,-0.313602095
subject104,nonabolition,86,6,1.381544364
subject104,preinstruction,87,2,-0.313602095
subject104,unobtainable,88,2,-0.313602095
subject104,herbally,89,7,1.805330978
subject104,unallowable,90,6,1.381544364
subject104,overzealous,91,6,1.381544364
subject104,avoidability,92,7,1.805330978
subject104,inscriptional,93,7,1.805330978
subject104,preautomation,94,1,-0.737388709
subject104,murkiness,95,7,1.805330978
subject104,preprohibition,96,7,1.805330978
subject104,surveyorship,97,1,-0.737388709
subject104,decoratorship,98,1,-0.737388709
subject104,depublicize,99,1,-0.737388709
subject104,archetypally,100,1,-0.737388709
subject105,noncohesion,1,6,0.23875411
subject105,rebellionist,2,3,-1.22300575
subject105,noncrucifixion,3,7,0.726007397
subject105,fusionist,4,7,0.726007397
subject105,emotionist,5,4,-0.735752463
subject105,nonarticulation,6,7,0.726007397
subject105,overcavernous,7,7,0.726007397
subject105,overperilous,8,6,0.23875411
subject105,preemission,9,7,0.726007397
subject105,remedialism,10,4,-0.735752463
subject105,precondescension,11,3,-1.22300575
subject105,incisorship,12,3,-1.22300575
subject105,pastorally,13,5,-0.248499176
subject105,nonincursion,14,7,0.726007397
subject105,accidentalize,15,7,0.726007397
subject105,preconnection,16,7,0.726007397
subject105,superintegral,17,5,-0.248499176
subject105,preomission,18,7,0.726007397
subject105,disseminationist,19,7,0.726007397
subject105,intermonumental,20,7,0.726007397
subject105,foxiness,21,7,0.726007397
subject105,preabortion,22,7,0.726007397
subject105,refrigeratorship,23,3,-1.22300575
subject105,appreciational,24,6,0.23875411
subject105,disposability,25,7,0.726007397
subject105,beadiness,26,7,0.726007397
subject105,preseduction,27,7,0.726007397
subject105,injectional,28,7,0.726007397
subject105,triumphally,29,7,0.726007397
subject105,overnervous,30,5,-0.248499176
subject105,successorship,31,7,0.726007397
subject105,collectorship,32,7,0.726007397
subject105,visualizer,33,7,0.726007397
subject105,preincarceration,34,6,0.23875411
subject105,preinstitution,35,6,0.23875411
subject105,substitutionist,36,6,0.23875411
subject105,conductorship,37,7,0.726007397
subject105,legislatorship,38,3,-1.22300575
subject105,overglorious,39,6,0.23875411
subject105,overbulbous,40,4,-0.735752463
subject105,preventionist,41,6,0.23875411
subject105,nondissension,42,2,-1.710259036
subject105,unavailable,43,7,0.726007397
subject105,interoccasional,44,4,-0.735752463
subject105,nonelimination,45,7,0.726007397
subject105,preillumination,46,7,0.726007397
subject105,spikiness,47,7,0.726007397
subject105,superoriginal,48,7,0.726007397
subject105,precommunion,49,7,0.726007397
subject105,nondigression,50,7,0.726007397
subject105,abdominally,51,7,0.726007397
subject105,solicitorship,52,5,-0.248499176
subject105,selectorship,53,5,-0.248499176
subject105,doctrinalism,54,4,-0.735752463
subject105,nonretaliation,55,7,0.726007397
subject105,spindliness,56,7,0.726007397
subject105,enviability,57,7,0.726007397
subject105,predifferentiation,58,1,-2.197512323
